days_since_last_review,global_difficulty,last_review_quality,initial_difficulty,repetition_count,verse_count,avg_time_taken,next_review_outcome
31,3,1,2,9,39,40,0
32,2,1,3,3,21,21,0
29,2,2,2,3,17,13,0
31,4,2,5,10,45,48,0
20,4,1,5,3,44,48,0
21,2,3,3,1,21,8,0
10,1,1,1,9,12,10,0
6,1,5,1,31,36,13,1
44,3,1,4,14,24,25,0
8,1,5,1,68,42,18,1
13,1,3,1,56,7,2,1
31,4,1,3,5,49,49,0
7,2,3,1,14,23,9,1
36,2,1,1,3,43,38,0
43,3,3,4,12,40,22,0
17,3,4,4,10,36,16,1
35,1,1,1,10,42,33,0
26,3,2,2,2,11,13,0
41,1,3,2,15,33,13,0
27,1,3,2,9,41,21,1
17,1,2,1,13,11,11,1
41,3,2,3,11,31,32,0
25,1,3,1,2,45,18,1
45,2,1,2,1,38,35,0
2,2,5,1,6,38,16,1
41,4,1,5,93,41,42,0
36,3,1,4,8,26,23,0
43,5,1,5,13,47,55,0
42,3,3,3,3,37,20,0
1,1,1,1,8,32,27,0
13,3,3,2,10,18,12,1
27,3,3,4,1,5,1,0
32,4,1,3,9,6,8,0
20,1,4,1,15,40,20,1
6,3,4,4,2,40,20,1
36,3,3,3,11,18,11,0
11,4,5,5,4,25,13,1
27,1,4,1,71,40,20,1
15,3,3,2,10,11,4,1
33,2,2,2,6,40,38,0
15,3,4,2,3,40,22,1
36,3,2,2,39,14,12,0
45,1,1,1,8,41,31,0
37,1,1,1,60,26,21,0
23,2,1,3,1,43,36,0
25,4,4,4,7,18,10,0
12,2,2,2,13,9,7,1
28,4,3,3,13,23,12,0
45,3,2,2,3,26,26,0
34,3,1,3,74,44,42,0
20,1,1,1,20,39,31,0
42,2,3,3,11,33,14,0
42,4,1,4,15,14,16,0
13,1,4,1,84,35,17,1
41,3,1,3,2,10,12,0
20,3,5,2,7,40,19,1
6,3,4,2,3,36,16,1
27,3,4,2,9,17,10,1
19,3,5,2,2,23,10,1
43,2,2,3,5,27,24,0
25,1,2,1,5,41,33,0
37,5,1,5,9,48,52,0
36,4,1,3,66,33,34,0
3,3,5,4,8,34,17,1
15,3,4,3,10,45,21,1
37,3,1,4,6,5,6,0
29,3,5,2,3,29,13,1
43,2,1,2,13,8,8,0
44,1,1,2,12,50,43,0
40,2,1,1,14,21,16,0
8,3,1,2,7,8,9,0
4,2,5,1,9,36,17,1
39,1,2,2,53,27,20,0
16,1,2,1,14,20,16,1
10,5,5,5,3,50,29,1
20,2,2,1,86,20,17,1
19,4,4,5,56,4,3,1
35,4,2,3,11,31,30,0
27,3,1,3,27,37,38,0
37,3,1,2,7,39,36,0
2,2,2,2,13,20,16,1
10,4,1,3,11,29,31,0
35,3,3,3,3,25,12,0
30,3,5,4,1,49,28,1
21,1,2,1,8,25,20,0
41,3,1,4,9,12,14,0
2,1,3,1,6,17,5,1
23,3,4,2,4,17,6,1
17,3,2,4,1,49,50,0
11,3,2,2,11,46,44,1
26,3,3,3,52,25,11,1
45,1,1,2,15,17,15,0
29,2,4,2,15,22,10,1
0,3,5,4,72,40,22,1
37,1,2,1,13,5,2,0
17,2,5,2,11,15,10,1
25,1,1,1,3,12,9,0
44,3,2,3,3,31,33,0
32,1,1,1,12,49,43,0
8,1,4,2,7,43,17,1
27,1,4,1,83,15,4,1
14,1,2,1,75,29,23,1
1,3,5,4,9,23,10,1
27,4,3,3,12,24,11,0
29,1,2,1,6,50,39,0
2,1,4,2,12,17,6,1
12,1,4,1,1,36,15,1
33,3,2,3,63,47,44,0
18,2,4,1,1,7,6,1
10,3,4,4,66,16,7,1
9,1,2,1,15,38,30,1
3,3,1,3,6,16,14,0
11,2,1,1,94,29,28,1
8,3,1,2,46,35,32,1
35,3,1,2,8,43,43,0
22,1,3,2,5,32,15,1
40,1,3,1,12,28,12,0
40,1,2,1,9,7,5,0
36,1,3,1,11,33,16,0
41,1,1,1,9,40,32,0
21,2,5,3,6,45,24,1
14,1,1,2,94,35,27,1
16,1,4,1,64,45,17,1
10,1,2,1,13,35,31,1
21,4,1,3,56,12,13,0
1,2,1,1,4,10,11,1
10,1,4,2,3,7,5,1
8,4,1,5,15,31,33,0
17,3,2,3,9,21,18,0
5,4,3,5,9,31,16,1
32,3,3,4,7,20,9,0
26,1,3,1,4,7,6,0
23,3,5,2,1,29,16,1
3,5,3,5,4,18,13,1
19,3,2,4,15,29,30,0
3,4,5,5,5,3,2,1
10,1,3,2,5,7,6,1
42,1,1,2,84,13,13,1
42,2,1,1,6,6,7,0
29,3,5,2,31,35,18,1
35,2,1,2,30,50,46,0
8,3,4,3,14,28,17,1
35,3,1,2,68,7,8,0
38,3,2,2,89,47,46,0
19,3,3,3,3,44,23,0
15,3,1,2,11,33,35,0
27,3,2,2,9,8,6,0
38,2,2,3,11,37,31,0
16,1,1,2,77,19,17,1
37,3,3,3,26,11,5,0
6,5,3,5,4,5,5,1
30,3,2,2,6,7,6,0
40,1,2,2,90,25,18,1
4,2,3,1,1,34,17,1
44,1,2,1,4,47,36,0
5,1,2,1,12,9,8,1
8,3,1,3,9,29,30,0
30,4,3,3,10,15,6,0
16,2,3,1,2,43,20,1
31,3,1,4,58,44,42,0
24,1,5,2,8,42,17,1
19,3,3,2,5,27,14,1
1,1,3,2,15,23,11,1
23,4,1,5,49,10,13,0
42,2,3,3,9,27,12,0
7,2,4,1,13,34,17,1
0,4,5,5,73,38,20,1
28,1,4,2,10,45,22,1
28,1,2,2,37,4,2,1
45,1,2,1,2,10,9,0
43,1,1,2,1,50,39,0
34,4,2,5,9,26,27,0
38,3,1,4,10,10,11,0
0,4,5,4,8,3,4,1
44,3,2,4,6,45,42,0
33,2,1,2,6,15,15,0
11,3,5,2,4,29,18,1
7,4,2,5,15,14,15,0
26,3,3,2,14,14,5,0
21,3,3,4,1,33,20,0
26,3,3,4,12,46,25,0
32,3,1,4,6,29,27,0
5,1,5,1,1,33,12,1
40,1,3,1,5,21,12,0
27,4,3,3,54,37,23,1
14,1,1,1,3,32,26,0
18,4,2,4,7,23,23,0
9,2,3,3,15,47,24,1
22,3,1,3,1,47,43,0
40,3,1,2,2,23,20,0
25,4,2,5,9,17,17,0
34,3,2,3,9,8,9,0
39,2,1,2,13,44,39,0
23,4,5,3,7,29,14,1
26,3,4,3,6,9,2,0
2,3,2,3,3,16,18,1
0,4,3,3,12,9,7,1
14,3,1,2,10,3,5,0
19,3,3,2,11,38,21,1
5,1,4,2,8,33,12,1
0,3,1,3,14,20,21,1
17,2,1,2,1,18,16,0
7,1,5,1,1,16,9,1
35,1,1,1,12,31,28,0
20,1,1,2,11,49,42,0
45,3,1,3,11,42,39,0
9,1,2,1,4,21,19,1
9,2,3,2,13,28,13,1
30,5,3,5,8,46,25,0
45,1,1,2,12,35,28,0
4,1,2,1,7,43,34,1
16,1,1,2,11,47,38,0
21,4,2,3,92,37,38,1
24,3,3,2,14,42,23,1
4,4,5,4,4,45,27,1
2,1,4,1,15,45,18,1
39,2,1,1,62,28,24,0
36,1,3,1,11,9,5,1
24,2,4,3,31,40,20,1
33,2,3,2,32,12,8,0
45,3,3,2,3,48,22,0
8,3,4,3,13,41,20,1
9,1,4,1,6,43,20,1
11,4,5,3,1,26,17,1
15,3,2,2,12,35,35,1
42,4,1,4,4,46,50,0
23,3,1,2,12,22,23,0
20,1,1,2,9,38,30,0
45,4,2,3,11,23,26,0
1,3,5,3,10,23,14,1
28,4,4,3,12,15,6,1
45,1,3,1,14,45,22,0
13,4,2,3,11,33,32,0
14,1,3,2,13,30,11,1
9,1,2,2,14,26,19,1
44,3,2,3,11,5,5,0
18,3,1,3,3,28,28,0
6,1,3,1,14,16,6,1
34,1,3,1,2,27,13,1
33,3,1,4,14,11,11,0
28,3,3,3,3,22,14,0
36,3,3,2,14,41,20,0
24,1,5,1,7,45,22,1
3,3,4,4,63,31,17,1
10,2,5,1,6,36,18,1
29,3,5,3,11,7,1,1
44,3,2,2,9,22,21,0
25,3,4,3,7,48,22,0
28,1,3,2,54,35,13,1
11,1,4,1,48,6,1,1
22,4,5,4,10,30,14,1
11,1,4,2,13,23,12,1
5,4,5,5,7,37,21,1
37,1,3,1,15,19,9,1
20,3,5,3,10,47,22,1
28,3,1,2,7,48,46,0
13,4,3,4,6,30,17,1
15,1,1,1,4,44,36,0
39,4,1,3,13,19,17,0
34,4,1,4,3,20,22,0
26,3,4,4,8,25,13,1
18,2,5,2,7,14,6,1
41,3,3,3,2,38,17,0
21,5,5,4,8,5,4,1
1,4,4,4,92,34,19,1
19,1,4,2,6,12,3,1
32,5,1,5,6,16,16,0
15,1,4,2,95,46,23,1
17,2,3,2,8,30,14,1
7,1,4,1,15,30,13,1
5,1,1,2,29,14,14,1
41,2,3,2,5,22,13,0
5,3,2,3,11,30,28,1
6,3,4,4,6,12,8,1
45,2,3,1,4,41,17,0
14,3,4,4,13,40,23,1
13,3,3,4,12,23,10,1
29,3,1,3,6,15,12,0
22,4,3,3,7,5,2,0
43,3,1,3,3,46,42,0
0,1,3,2,3,21,10,1
15,3,1,4,6,24,24,0
18,1,1,1,4,44,35,0
43,2,1,3,52,30,30,0
45,1,1,1,53,38,30,0
4,4,4,3,84,38,20,1
9,1,2,2,14,30,26,1
35,4,1,4,5,35,36,0
10,3,5,4,8,19,9,1
19,1,5,1,12,32,13,1
4,1,5,1,5,40,17,1
25,4,5,5,72,19,12,1
33,1,2,2,7,20,14,0
15,1,1,2,15,16,12,1
1,3,4,4,96,29,15,1
7,3,5,4,6,49,27,1
16,3,5,2,88,43,21,1
44,3,1,4,6,17,19,0
44,1,2,1,5,17,13,0
37,1,2,1,10,40,32,0
39,3,2,2,31,9,10,0
22,1,2,1,55,22,18,1
27,3,3,4,5,19,12,0
33,3,1,4,5,14,11,0
7,2,1,3,11,20,19,0
9,1,5,1,8,8,1,1
40,1,3,1,5,31,12,0
45,1,1,1,64,37,33,0
32,3,1,3,4,49,46,0
7,4,1,4,2,26,30,0
23,3,2,3,12,45,45,0
42,1,1,1,1,25,19,0
36,2,2,3,14,39,38,0
29,2,1,3,6,11,10,0
21,3,5,4,8,8,5,1
34,4,2,4,13,19,17,0
29,3,4,4,82,40,23,1
34,1,3,1,12,50,22,1
4,3,3,2,11,50,25,1
28,4,3,3,13,31,16,0
25,3,5,3,9,50,28,1
11,4,5,4,1,6,4,1
28,3,2,3,5,50,51,0
27,3,4,3,66,24,14,1
0,3,3,3,10,15,7,1
12,3,1,3,13,27,26,0
40,4,1,3,13,39,42,0
6,1,4,1,1,42,21,1
13,1,2,1,4,29,21,0
9,1,5,1,3,4,2,1
31,2,1,1,14,19,20,0
37,3,1,2,10,17,17,0
11,3,5,3,7,48,23,1
2,3,4,3,4,44,23,1
43,4,1,3,5,27,28,0
19,3,3,2,6,24,12,0
4,3,3,4,3,47,25,1
19,3,1,2,1,45,44,0
22,2,5,1,15,28,16,1
20,3,3,3,8,11,4,1
8,2,1,3,56,39,38,1
30,3,4,2,13,6,6,1
3,3,4,4,4,18,10,1
19,3,3,3,54,4,3,1
19,3,5,3,6,15,9,1
19,3,4,2,6,44,23,1
4,1,3,1,14,35,14,1
40,1,2,1,13,27,22,0
10,3,4,2,9,37,17,1
20,4,2,3,9,42,44,0
22,1,2,2,70,8,5,1
24,4,5,5,14,22,12,1
28,4,3,4,10,8,3,0
33,2,3,3,13,46,21,0
11,1,1,1,9,23,17,0
44,1,1,1,2,45,36,0
13,2,4,2,13,6,1,1
21,3,1,2,13,25,24,0
35,4,2,3,14,11,12,0
8,2,5,3,11,19,9,1
45,3,2,3,13,17,16,0
14,2,5,1,5,14,9,1
43,2,3,3,7,40,18,0
16,1,1,1,64,4,5,1
42,1,2,2,6,37,33,0
27,3,2,3,13,6,5,0
30,1,4,2,7,19,9,1
20,3,2,4,8,31,32,0
43,3,1,3,13,24,21,0
2,4,2,4,8,15,18,1
4,3,2,3,4,8,8,1
38,3,1,2,3,31,31,0
29,3,2,4,6,17,19,0
28,4,1,3,6,35,37,0
43,2,2,2,3,38,37,0
39,1,1,1,15,41,34,0
19,1,3,1,8,16,8,1
16,2,5,2,47,33,15,1
41,4,2,4,3,27,27,0
15,1,3,1,9,35,16,1
22,3,4,2,14,16,9,1
6,2,1,1,5,12,11,1
45,3,1,3,2,14,14,0
42,4,1,4,8,14,15,0
7,2,2,3,11,34,31,1
40,1,1,2,98,29,24,1
16,5,4,4,5,29,20,1
1,3,3,2,12,29,13,1
2,1,1,1,5,34,29,1
29,3,5,3,4,12,8,1
9,3,4,3,3,48,25,1
13,3,4,2,76,27,12,1
45,3,3,2,13,37,17,0
2,3,3,2,4,19,7,1
34,4,2,5,7,12,11,0
11,1,1,1,10,33,30,0
20,4,2,3,11,23,27,0
45,2,2,3,8,25,21,0
36,2,1,1,10,40,34,0
42,1,3,2,60,37,19,1
18,3,3,2,15,20,8,1
0,4,4,5,1,14,5,1
21,4,2,3,1,12,10,0
31,1,2,2,5,34,31,0
28,3,1,3,85,44,43,1
36,3,1,4,8,12,14,0
26,3,2,3,84,44,40,1
30,1,2,1,92,33,28,1
40,1,3,1,1,16,9,0
32,2,1,3,14,39,34,0
15,2,5,1,5,37,17,1
4,1,5,1,100,8,1,1
28,1,2,1,23,24,18,0
42,2,1,3,29,22,20,0
26,3,1,2,4,25,24,0
40,1,2,1,6,39,30,0
29,5,5,4,64,17,13,1
36,1,1,1,9,45,39,0
38,5,2,5,1,8,11,0
8,3,3,4,4,14,5,1
3,3,4,3,12,22,9,1
7,3,4,4,8,5,1,1
20,5,3,5,2,10,5,0
33,3,1,4,3,31,31,0
33,4,1,4,47,45,46,0
13,1,3,1,5,22,11,1
37,1,1,1,7,6,5,0
10,4,1,4,7,47,47,0
8,3,5,3,6,37,18,1
42,1,3,1,14,23,9,0
9,3,1,3,11,10,11,1
7,3,2,2,5,8,8,0
13,3,5,4,10,28,16,1
7,3,4,4,25,31,16,1
25,1,1,1,10,21,18,0
4,3,4,2,6,17,9,1
43,2,1,3,13,50,44,0
42,4,2,5,12,7,8,0
45,3,1,4,14,43,42,0
29,3,5,3,4,16,6,1
23,2,2,2,5,50,45,0
28,3,3,4,10,17,11,0
22,4,3,3,4,3,4,0
30,3,1,4,12,29,27,0
38,1,1,1,15,43,36,0
19,4,3,4,6,40,21,0
15,4,3,3,98,33,19,1
12,3,2,4,89,7,9,1
23,5,4,5,11,47,30,0
29,1,5,2,3,39,15,1
26,3,1,2,12,22,21,0
2,1,5,1,74,48,21,1
8,2,1,2,49,47,45,1
1,1,3,2,14,44,22,1
31,1,1,2,32,15,10,0
40,4,2,3,5,27,26,0
44,4,1,3,14,47,49,0
0,2,4,2,11,26,10,1
32,3,3,4,10,24,14,0
10,4,3,3,64,10,5,1
17,3,3,3,11,44,24,0
25,3,5,3,10,40,18,1
22,1,4,2,64,21,7,1
21,3,5,4,12,8,6,1
4,3,4,4,6,37,17,1
28,3,5,3,15,9,7,1
22,1,2,1,75,19,18,1
9,3,2,3,86,10,9,1
12,3,3,4,13,39,18,1
