days_since_last_review,global_difficulty,last_review_quality,initial_difficulty,repetition_count,verse_count,avg_time_taken,next_review_outcome
51,4,1,5,11,7,8,0
28,3,3,2,2,22,12,0
29,2,3,3,4,12,8,0
15,3,3,2,15,37,21,0
40,3,3,4,14,9,8,0
43,1,2,1,13,27,20,0
24,3,4,4,4,42,26,0
52,1,2,1,17,33,26,0
47,1,1,1,17,33,27,0
4,1,5,1,10,41,23,1
46,2,2,1,1,29,27,0
31,2,3,2,12,18,10,0
40,3,2,4,13,34,32,0
54,3,1,4,2,24,23,0
37,4,2,4,5,47,49,0
8,1,3,1,6,16,10,1
17,2,4,2,14,23,11,1
60,4,2,4,12,19,18,0
28,2,2,2,6,42,38,1
48,2,3,1,17,21,9,0
60,2,2,1,8,22,18,0
25,1,4,2,4,24,14,0
24,4,4,3,6,23,13,0
32,2,2,3,13,21,17,0
5,1,5,2,8,10,5,1
44,1,1,2,20,34,29,0
45,4,2,4,4,27,28,0
56,2,1,3,13,14,11,0
0,3,5,4,20,7,6,1
15,4,3,5,10,39,24,0
17,1,2,2,18,15,9,1
2,2,4,3,18,12,4,1
40,4,2,5,11,11,10,0
56,2,2,1,17,47,40,0
22,3,3,4,2,34,21,1
13,3,3,4,2,28,19,0
46,1,2,1,15,4,5,0
40,1,1,1,11,12,10,0
30,1,2,1,2,27,18,0
7,2,4,2,7,41,21,1
14,2,2,3,13,9,10,0
5,3,4,2,14,6,4,1
55,3,2,4,9,10,11,0
41,2,3,2,20,15,7,1
18,3,2,4,3,36,30,0
32,2,1,3,18,49,42,0
42,4,2,3,7,22,24,0
49,2,3,1,20,21,11,0
39,3,2,3,9,33,31,0
12,4,2,4,4,48,50,1
54,2,1,3,7,43,34,0
34,1,3,2,20,48,26,1
17,4,2,4,13,7,9,1
7,1,2,2,5,29,22,1
45,1,2,2,5,48,38,0
9,4,3,3,20,8,6,1
5,3,4,2,16,7,2,1
29,4,3,3,7,17,13,1
18,1,4,1,9,48,23,1
0,4,5,3,13,23,14,1
34,4,1,3,14,14,14,0
17,2,3,1,10,49,24,1
44,1,2,2,2,25,19,0
12,1,4,1,16,9,6,1
19,1,3,2,11,5,2,1
59,1,2,2,19,24,17,0
25,3,3,3,10,12,6,0
54,2,2,1,11,5,5,0
6,4,5,5,11,31,22,1
40,1,3,1,2,43,24,0
42,3,2,3,18,23,19,0
13,4,4,4,8,19,13,0
54,1,2,1,9,36,30,0
16,1,2,2,3,19,14,1
24,4,2,4,19,42,43,1
22,1,3,1,16,28,13,1
3,3,5,3,14,40,26,1
7,1,4,1,17,42,21,1
27,5,2,5,2,5,8,0
29,1,3,2,11,7,2,0
13,2,2,2,6,4,5,0
47,2,2,2,14,47,41,0
54,2,2,2,8,8,8,0
53,1,2,1,5,39,31,0
44,3,2,4,14,33,32,0
46,2,2,2,7,49,39,0
28,3,4,4,4,7,4,1
10,4,4,5,9,20,10,1
31,3,1,2,3,10,9,0
48,3,1,2,17,22,22,0
21,1,3,2,6,9,3,0
6,3,4,2,15,20,14,1
59,1,1,1,7,38,30,0
9,1,4,2,8,38,17,1
2,1,5,1,17,40,17,1
52,1,2,1,18,43,34,0
22,4,3,3,11,41,26,0
58,1,2,2,1,35,27,0
39,3,1,4,6,34,30,0
24,4,2,4,7,45,44,0
49,3,1,3,5,39,34,0
39,1,3,1,2,8,2,0
48,1,2,2,19,27,21,0
22,1,2,1,20,34,28,0
